"filename", "language", "TypeScript", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/payment-transfer.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/paymentTransfer.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/plus.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/search.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/shopping-bag.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/spotify.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/stripe.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/tbfBakery.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/transaction.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/visa.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/sentry.client.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 9, 7, 30
"/Users/ryanhajji/Documents/Projects/jsm_banking/sentry.edge.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 6, 5, 17
"/Users/ryanhajji/Documents/Projects/jsm_banking/sentry.server.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 7, 7, 20
"/Users/ryanhajji/Documents/Projects/jsm_banking/tailwind.config.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 3, 113
"/Users/ryanhajji/Documents/Projects/jsm_banking/tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/ryanhajji/Documents/Projects/jsm_banking/types/index.d.ts", "TypeScript", 268, 0, 0, 0, 0, 0, 0, 0, 11, 53, 332
"Total", "-", 1345, 26, 10674, 933, 3286, 25, 286, 23, 141, 835, 17574
